	act	scene	char_from	char_to	sentence
31	1	1	BARNARDO	MARCELLUS	Looks it not like the King? Mark it, Horatio.
32	1	1	HORATIO	BARNARDO	Most like. It harrows me with fear and wonder. BARNARDO It would be spoke to.
33	1	1	MARCELLUS	HORATIO	Question it, Horatio.
34	1	1	HORATIO	MARCELLUS	What art thou that usurp’st this time of night, Together with that fair and warlike form In which the majesty of buried Denmark Did sometimes march? By heaven I charge thee speak.
35	1	1	MARCELLUS	HORATIO	It is offended.
36	1	1	BARNARDO	MARCELLUS	See, it stalks away.
37	1	1	HORATIO	BARNARDO	Stay! speak, speak! I charge thee speak!
38	1	1	MARCELLUS	HORATIO	’Tis gone, and will not answer.
39	1	1	BARNARDO	MARCELLUS	How now, Horatio! You tremble and look pale. Is not this something more than fantasy? What think you on’t?
40	1	1	HORATIO	BARNARDO	Before my God, I might not this believe Without the sensible and true avouch Of mine own eyes.
41	1	1	MARCELLUS	HORATIO	Is it not like the King?
42	1	1	HORATIO	MARCELLUS	As thou art to thyself: Such was the very armour he had on When he th’ambitious Norway combated; So frown’d he once, when in an angry parle He smote the sledded Polacks on the ice. ’Tis strange.
43	1	1	MARCELLUS	HORATIO	Thus twice before, and jump at this dead hour, With martial stalk hath he gone by our watch.
44	1	1	HORATIO	MARCELLUS	In what particular thought to work I know not; But in the gross and scope of my opinion, This bodes some strange eruption to our state.
45	1	1	MARCELLUS	HORATIO	Good now, sit down, and tell me, he that knows, Why this same strict and most observant watch So nightly toils the subject of the land, And why such daily cast of brazen cannon And foreign mart for implements of war; Why such impress of shipwrights, whose sore task Does not divide the Sunday from the week. What might be toward, that this sweaty haste Doth make the night joint-labourer with the day: Who is’t that can inform me?
46	1	1	HORATIO	MARCELLUS	That can I; At least, the whisper goes so. Our last King, Whose image even but now appear’d to us, Was, as you know, by Fortinbras of Norway, Thereto prick’d on by a most emulate pride, Dar’d to the combat; in which our valiant Hamlet, For so this side of our known world esteem’d him, Did slay this Fortinbras; who by a seal’d compact, Well ratified by law and heraldry, Did forfeit, with his life, all those his lands Which he stood seiz’d of, to the conqueror; Against the which, a moiety competent Was gaged by our King; which had return’d To the inheritance of Fortinbras, Had he been vanquisher; as by the same cov’nant And carriage of the article design’d, His fell to Hamlet. Now, sir, young Fortinbras, Of unimproved mettle, hot and full, Hath in the skirts of Norway, here and there, Shark’d up a list of lawless resolutes, For food and diet, to some enterprise That hath a stomach in’t; which is no other, As it doth well appear unto our state, But to recover of us by strong hand And terms compulsatory, those foresaid lands So by his father lost. And this, I take it, Is the main motive of our preparations, The source of this our watch, and the chief head Of this post-haste and rummage in the land.
47	1	1	BARNARDO	HORATIO	I think it be no other but e’en so: Well may it sort that this portentous figure Comes armed through our watch so like the King That was and is the question of these wars.
48	1	1	HORATIO	BARNARDO	A mote it is to trouble the mind’s eye. In the most high and palmy state of Rome, A little ere the mightiest Julius fell, The graves stood tenantless and the sheeted dead Did squeak and gibber in the Roman streets; As stars with trains of fire and dews of blood, Disasters in the sun; and the moist star, Upon whose influence Neptune’s empire stands, Was sick almost to doomsday with eclipse. And even the like precurse of fierce events, As harbingers preceding still the fates And prologue to the omen coming on, Have heaven and earth together demonstrated Unto our climatures and countrymen. Re-enter Ghost. But, soft, behold! Lo, where it comes again! I’ll cross it, though it blast me. Stay, illusion! If thou hast any sound, or use of voice, Speak to me. If there be any good thing to be done, That may to thee do ease, and grace to me, Speak to me. If thou art privy to thy country’s fate, Which, happily, foreknowing may avoid, O speak! Or if thou hast uphoarded in thy life Extorted treasure in the womb of earth, For which, they say, you spirits oft walk in death, Speak of it. Stay, and speak! Stop it, Marcellus!
49	1	1	MARCELLUS	HORATIO	Shall I strike at it with my partisan?
50	1	1	HORATIO	MARCELLUS	Do, if it will not stand.
51	1	1	BARNARDO	HORATIO	’Tis here!
52	1	1	HORATIO	BARNARDO	’Tis here!
53	1	1	MARCELLUS	HORATIO	’Tis gone! We do it wrong, being so majestical, To offer it the show of violence, For it is as the air, invulnerable, And our vain blows malicious mockery.
54	1	1	BARNARDO	MARCELLUS	It was about to speak, when the cock crew.
55	1	1	HORATIO	BARNARDO	And then it started, like a guilty thing Upon a fearful summons. I have heard The cock, that is the trumpet to the morn, Doth with his lofty and shrill-sounding throat Awake the god of day; and at his warning, Whether in sea or fire, in earth or air, Th’extravagant and erring spirit hies To his confine. And of the truth herein This present object made probation.
56	1	1	MARCELLUS	HORATIO	It faded on the crowing of the cock. Some say that ever ’gainst that season comes Wherein our Saviour’s birth is celebrated, The bird of dawning singeth all night long; And then, they say, no spirit dare stir abroad, The nights are wholesome, then no planets strike, No fairy takes, nor witch hath power to charm; So hallow’d and so gracious is the time.
57	1	1	HORATIO	MARCELLUS	So have I heard, and do in part believe it. But look, the morn in russet mantle clad, Walks o’er the dew of yon high eastward hill. Break we our watch up, and by my advice, Let us impart what we have seen tonight Unto young Hamlet; for upon my life, This spirit, dumb to us, will speak to him. Do you consent we shall acquaint him with it, As needful in our loves, fitting our duty?
58	1	1	MARCELLUS	HORATIO	Let’s do’t, I pray, and I this morning know Where we shall find him most conveniently.
59	1	2	KING	VOLTEMAND	Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe; Yet so far hath discretion fought with nature That we with wisest sorrow think on him, Together with remembrance of ourselves. Therefore our sometime sister, now our queen, Th’imperial jointress to this warlike state, Have we, as ’twere with a defeated joy, With one auspicious and one dropping eye, With mirth in funeral, and with dirge in marriage, In equal scale weighing delight and dole, Taken to wife; nor have we herein barr’d Your better wisdoms, which have freely gone With this affair along. For all, our thanks. Now follows, that you know young Fortinbras, Holding a weak supposal of our worth, Or thinking by our late dear brother’s death Our state to be disjoint and out of frame, Colleagued with this dream of his advantage, He hath not fail’d to pester us with message, Importing the surrender of those lands Lost by his father, with all bonds of law, To our most valiant brother. So much for him. Now for ourself and for this time of meeting: Thus much the business is: we have here writ To Norway, uncle of young Fortinbras, Who, impotent and bed-rid, scarcely hears Of this his nephew’s purpose, to suppress His further gait herein; in that the levies, The lists, and full proportions are all made Out of his subject: and we here dispatch You, good Cornelius, and you, Voltemand, For bearers of this greeting to old Norway, Giving to you no further personal power To business with the King, more than the scope Of these dilated articles allow. Farewell; and let your haste commend your duty. CORNELIUS and
60	1	2	VOLTEMAND	KING	In that, and all things, will we show our duty.
61	1	2	KING	VOLTEMAND	We doubt it nothing: heartily farewell. And now, Laertes, what’s the news with you? You told us of some suit. What is’t, Laertes? You cannot speak of reason to the Dane, And lose your voice. What wouldst thou beg, Laertes, That shall not be my offer, not thy asking? The head is not more native to the heart, The hand more instrumental to the mouth, Than is the throne of Denmark to thy father. What wouldst thou have, Laertes?
62	1	2	LAERTES	KING	Dread my lord, Your leave and favour to return to France, From whence though willingly I came to Denmark To show my duty in your coronation; Yet now I must confess, that duty done, My thoughts and wishes bend again toward France, And bow them to your gracious leave and pardon.
63	1	2	KING	LAERTES	Have you your father’s leave? What says Polonius?
64	1	2	POLONIUS	KING	He hath, my lord, wrung from me my slow leave By laboursome petition; and at last Upon his will I seal’d my hard consent. I do beseech you give him leave to go.
65	1	2	KING	POLONIUS	Take thy fair hour, Laertes; time be thine, And thy best graces spend it at thy will! But now, my cousin Hamlet, and my son—
66	1	2	HAMLET	KING	A little more than kin, and less than kind.
67	1	2	KING	HAMLET	How is it that the clouds still hang on you?
68	1	2	HAMLET	KING	Not so, my lord, I am too much i’ the sun.
69	1	2	QUEEN	HAMLET	Good Hamlet, cast thy nighted colour off, And let thine eye look like a friend on Denmark. Do not for ever with thy vailed lids Seek for thy noble father in the dust. Thou know’st ’tis common, all that lives must die, Passing through nature to eternity.
70	1	2	HAMLET	QUEEN	Ay, madam, it is common.
71	1	2	QUEEN	HAMLET	If it be, Why seems it so particular with thee?
72	1	2	HAMLET	QUEEN	Seems, madam! Nay, it is; I know not seems. ’Tis not alone my inky cloak, good mother, Nor customary suits of solemn black, Nor windy suspiration of forc’d breath, No, nor the fruitful river in the eye, Nor the dejected haviour of the visage, Together with all forms, moods, shows of grief, That can denote me truly. These indeed seem, For they are actions that a man might play; But I have that within which passeth show; These but the trappings and the suits of woe.
73	1	2	KING	HAMLET	’Tis sweet and commendable in your nature, Hamlet, To give these mourning duties to your father; But you must know, your father lost a father, That father lost, lost his, and the survivor bound In filial obligation, for some term To do obsequious sorrow. But to persevere In obstinate condolement is a course Of impious stubbornness. ’Tis unmanly grief, It shows a will most incorrect to heaven, A heart unfortified, a mind impatient, An understanding simple and unschool’d; For what we know must be, and is as common As any the most vulgar thing to sense, Why should we in our peevish opposition Take it to heart? Fie, ’tis a fault to heaven, A fault against the dead, a fault to nature, To reason most absurd, whose common theme Is death of fathers, and who still hath cried, From the first corse till he that died today, ‘This must be so.’ We pray you throw to earth This unprevailing woe, and think of us As of a father; for let the world take note You are the most immediate to our throne, And with no less nobility of love Than that which dearest father bears his son Do I impart toward you. For your intent In going back to school in Wittenberg, It is most retrograde to our desire: And we beseech you bend you to remain Here in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son.
74	1	2	QUEEN	KING	Let not thy mother lose her prayers, Hamlet. I pray thee stay with us; go not to Wittenberg.
75	1	2	HAMLET	QUEEN	I shall in all my best obey you, madam.
76	1	2	KING	HAMLET	Why, ’tis a loving and a fair reply. Be as ourself in Denmark. Madam, come; This gentle and unforc’d accord of Hamlet Sits smiling to my heart; in grace whereof, No jocund health that Denmark drinks today But the great cannon to the clouds shall tell, And the King’s rouse the heaven shall bruit again, Re-speaking earthly thunder. Come away.
77	1	2	HAMLET	KING	O that this too too solid flesh would melt, Thaw, and resolve itself into a dew! Or that the Everlasting had not fix’d His canon ’gainst self-slaughter. O God! O God! How weary, stale, flat, and unprofitable Seem to me all the uses of this world! Fie on’t! Oh fie! ’tis an unweeded garden That grows to seed; things rank and gross in nature Possess it merely. That it should come to this! But two months dead—nay, not so much, not two: So excellent a king; that was to this Hyperion to a satyr; so loving to my mother, That he might not beteem the winds of heaven Visit her face too roughly. Heaven and earth! Must I remember? Why, she would hang on him As if increase of appetite had grown By what it fed on; and yet, within a month— Let me not think on’t—Frailty, thy name is woman! A little month, or ere those shoes were old With which she followed my poor father’s body Like Niobe, all tears.—Why she, even she— O God! A beast that wants discourse of reason Would have mourn’d longer,—married with mine uncle, My father’s brother; but no more like my father Than I to Hercules. Within a month? Ere yet the salt of most unrighteous tears Had left the flushing in her galled eyes, She married. O most wicked speed, to post With such dexterity to incestuous sheets! It is not, nor it cannot come to good. But break my heart, for I must hold my tongue. Enter Horatio, Marcellus and Barnardo.
78	1	2	HORATIO	HAMLET	Hail to your lordship!
79	1	2	HAMLET	HORATIO	I am glad to see you well: Horatio, or I do forget myself.
80	1	2	HORATIO	HAMLET	The same, my lord, And your poor servant ever.
81	1	2	HAMLET	HORATIO	Sir, my good friend; I’ll change that name with you: And what make you from Wittenberg, Horatio?— Marcellus?
82	1	2	MARCELLUS	HAMLET	My good lord.
83	1	2	HAMLET	MARCELLUS	I am very glad to see you.—Good even, sir.— But what, in faith, make you from Wittenberg?
84	1	2	HORATIO	HAMLET	A truant disposition, good my lord.
85	1	2	HAMLET	HORATIO	I would not hear your enemy say so; Nor shall you do my ear that violence, To make it truster of your own report Against yourself. I know you are no truant. But what is your affair in Elsinore? We’ll teach you to drink deep ere you depart.
86	1	2	HORATIO	HAMLET	My lord, I came to see your father’s funeral.
87	1	2	HAMLET	HORATIO	I prithee do not mock me, fellow-student. I think it was to see my mother’s wedding.
88	1	2	HORATIO	HAMLET	Indeed, my lord, it follow’d hard upon.
89	1	2	HAMLET	HORATIO	Thrift, thrift, Horatio! The funeral bak’d meats Did coldly furnish forth the marriage tables. Would I had met my dearest foe in heaven Or ever I had seen that day, Horatio. My father,—methinks I see my father.
90	1	2	HORATIO	HAMLET	Where, my lord?
91	1	2	HAMLET	HORATIO	In my mind’s eye, Horatio.
92	1	2	HORATIO	HAMLET	I saw him once; he was a goodly king.
93	1	2	HAMLET	HORATIO	He was a man, take him for all in all, I shall not look upon his like again.
94	1	2	HORATIO	HAMLET	My lord, I think I saw him yesternight.
95	1	2	HAMLET	HORATIO	Saw? Who?
96	1	2	HORATIO	HAMLET	My lord, the King your father.
97	1	2	HAMLET	HORATIO	The King my father!
98	1	2	HORATIO	HAMLET	Season your admiration for a while With an attent ear, till I may deliver Upon the witness of these gentlemen This marvel to you.
99	1	2	HAMLET	HORATIO	For God’s love let me hear.
100	1	2	HORATIO	HAMLET	Two nights together had these gentlemen, Marcellus and Barnardo, on their watch In the dead waste and middle of the night, Been thus encounter’d. A figure like your father, Armed at point exactly, cap-à-pie, Appears before them, and with solemn march Goes slow and stately by them: thrice he walk’d By their oppress’d and fear-surprised eyes, Within his truncheon’s length; whilst they, distill’d Almost to jelly with the act of fear, Stand dumb, and speak not to him. This to me In dreadful secrecy impart they did, And I with them the third night kept the watch, Where, as they had deliver’d, both in time, Form of the thing, each word made true and good, The apparition comes. I knew your father; These hands are not more like.
101	1	2	HAMLET	HORATIO	But where was this?
102	1	2	MARCELLUS	HAMLET	My lord, upon the platform where we watch.
103	1	2	HAMLET	MARCELLUS	Did you not speak to it?
104	1	2	HORATIO	HAMLET	My lord, I did; But answer made it none: yet once methought It lifted up it head, and did address Itself to motion, like as it would speak. But even then the morning cock crew loud, And at the sound it shrunk in haste away, And vanish’d from our sight.
105	1	2	HAMLET	HORATIO	’Tis very strange.
106	1	2	HORATIO	HAMLET	As I do live, my honour’d lord, ’tis true; And we did think it writ down in our duty To let you know of it.
107	1	2	HAMLET	HORATIO	Indeed, indeed, sirs, but this troubles me. Hold you the watch tonight? Mar. and
108	1	2	BARNARDO	HAMLET	We do, my lord.
109	1	2	HAMLET	BARNARDO	Arm’d, say you? Both. Arm’d, my lord.
110	1	2	HAMLET	BARNARDO	From top to toe?
111	1	2	BOTH	HAMLET	My lord, from head to foot.
112	1	2	HAMLET	BOTH	Then saw you not his face?
113	1	2	HORATIO	HAMLET	O yes, my lord, he wore his beaver up.
114	1	2	HAMLET	HORATIO	What, look’d he frowningly?
115	1	2	HORATIO	HAMLET	A countenance more in sorrow than in anger.
116	1	2	HAMLET	HORATIO	Pale, or red?
117	1	2	HORATIO	HAMLET	Nay, very pale.
118	1	2	HAMLET	HORATIO	And fix’d his eyes upon you?
119	1	2	HORATIO	HAMLET	Most constantly.
120	1	2	HAMLET	HORATIO	I would I had been there.
121	1	2	HORATIO	HAMLET	It would have much amaz’d you.
122	1	2	HAMLET	HORATIO	Very like, very like. Stay’d it long?
123	1	2	HORATIO	HAMLET	While one with moderate haste might tell a hundred. MARCELLUS and
124	1	2	BARNARDO	HORATIO	Longer, longer.
125	1	2	HORATIO	BARNARDO	Not when I saw’t.
126	1	2	HAMLET	HORATIO	His beard was grizzled, no?
127	1	2	HORATIO	HAMLET	It was, as I have seen it in his life, A sable silver’d.
128	1	2	HAMLET	HORATIO	I will watch tonight; Perchance ’twill walk again.
129	1	2	HORATIO	HAMLET	I warrant you it will.
130	1	2	HAMLET	HORATIO	If it assume my noble father’s person, I’ll speak to it, though hell itself should gape And bid me hold my peace. I pray you all, If you have hitherto conceal’d this sight, Let it be tenable in your silence still; And whatsoever else shall hap tonight, Give it an understanding, but no tongue. I will requite your loves. So, fare ye well. Upon the platform ’twixt eleven and twelve, I’ll visit you.
131	1	2	ALL	HAMLET	Our duty to your honour.
132	1	2	HAMLET	ALL	Your loves, as mine to you: farewell. My father’s spirit in arms! All is not well; I doubt some foul play: would the night were come! Till then sit still, my soul: foul deeds will rise, Though all the earth o’erwhelm them, to men’s eyes.
133	1	3	LAERTES	OPHELIA	My necessaries are embark’d. Farewell. And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.
134	1	3	OPHELIA	LAERTES	Do you doubt that?
135	1	3	LAERTES	OPHELIA	For Hamlet, and the trifling of his favour, Hold it a fashion and a toy in blood; A violet in the youth of primy nature, Forward, not permanent, sweet, not lasting; The perfume and suppliance of a minute; No more.
136	1	3	OPHELIA	LAERTES	No more but so?
137	1	3	LAERTES	OPHELIA	Think it no more. For nature crescent does not grow alone In thews and bulk; but as this temple waxes, The inward service of the mind and soul Grows wide withal. Perhaps he loves you now, And now no soil nor cautel doth besmirch The virtue of his will; but you must fear, His greatness weigh’d, his will is not his own; For he himself is subject to his birth: He may not, as unvalu’d persons do, Carve for himself; for on his choice depends The sanctity and health of this whole state; And therefore must his choice be circumscrib’d Unto the voice and yielding of that body Whereof he is the head. Then if he says he loves you, It fits your wisdom so far to believe it As he in his particular act and place May give his saying deed; which is no further Than the main voice of Denmark goes withal. Then weigh what loss your honour may sustain If with too credent ear you list his songs, Or lose your heart, or your chaste treasure open To his unmaster’d importunity. Fear it, Ophelia, fear it, my dear sister; And keep you in the rear of your affection, Out of the shot and danger of desire. The chariest maid is prodigal enough If she unmask her beauty to the moon. Virtue itself scopes not calumnious strokes: The canker galls the infants of the spring Too oft before their buttons be disclos’d, And in the morn and liquid dew of youth Contagious blastments are most imminent. Be wary then, best safety lies in fear. Youth to itself rebels, though none else near.
138	1	3	OPHELIA	LAERTES	I shall th’effect of this good lesson keep As watchman to my heart. But good my brother, Do not as some ungracious pastors do, Show me the steep and thorny way to heaven; Whilst like a puff’d and reckless libertine Himself the primrose path of dalliance treads, And recks not his own rede.
139	1	3	LAERTES	OPHELIA	O, fear me not. I stay too long. But here my father comes. Enter Polonius. A double blessing is a double grace; Occasion smiles upon a second leave.
140	1	3	POLONIUS	LAERTES	Yet here, Laertes? Aboard, aboard, for shame. The wind sits in the shoulder of your sail, And you are stay’d for. There, my blessing with you. And these few precepts in thy memory Look thou character. Give thy thoughts no tongue, Nor any unproportion’d thought his act. Be thou familiar, but by no means vulgar. Those friends thou hast, and their adoption tried, Grapple them unto thy soul with hoops of steel; But do not dull thy palm with entertainment Of each new-hatch’d, unfledg’d comrade. Beware Of entrance to a quarrel; but being in, Bear’t that th’opposed may beware of thee. Give every man thine ear, but few thy voice: Take each man’s censure, but reserve thy judgment. Costly thy habit as thy purse can buy, But not express’d in fancy; rich, not gaudy: For the apparel oft proclaims the man; And they in France of the best rank and station Are of a most select and generous chief in that. Neither a borrower nor a lender be: For loan oft loses both itself and friend; And borrowing dulls the edge of husbandry. This above all: to thine own self be true; And it must follow, as the night the day, Thou canst not then be false to any man. Farewell: my blessing season this in thee.
141	1	3	LAERTES	POLONIUS	Most humbly do I take my leave, my lord.
142	1	3	POLONIUS	LAERTES	The time invites you; go, your servants tend.
143	1	3	LAERTES	POLONIUS	Farewell, Ophelia, and remember well What I have said to you.
144	1	3	OPHELIA	LAERTES	’Tis in my memory lock’d, And you yourself shall keep the key of it.
145	1	3	LAERTES	OPHELIA	Farewell.
146	1	3	POLONIUS	LAERTES	What is’t, Ophelia, he hath said to you?
147	1	3	OPHELIA	POLONIUS	So please you, something touching the Lord Hamlet.
148	1	3	POLONIUS	OPHELIA	Marry, well bethought: ’Tis told me he hath very oft of late Given private time to you; and you yourself Have of your audience been most free and bounteous. If it be so,—as so ’tis put on me, And that in way of caution,—I must tell you You do not understand yourself so clearly As it behoves my daughter and your honour. What is between you? Give me up the truth.
149	1	3	OPHELIA	POLONIUS	He hath, my lord, of late made many tenders Of his affection to me.
150	1	3	POLONIUS	OPHELIA	Affection! Pooh! You speak like a green girl, Unsifted in such perilous circumstance. Do you believe his tenders, as you call them?
151	1	3	OPHELIA	POLONIUS	I do not know, my lord, what I should think.
152	1	3	POLONIUS	OPHELIA	Marry, I’ll teach you; think yourself a baby; That you have ta’en these tenders for true pay, Which are not sterling. Tender yourself more dearly; Or,—not to crack the wind of the poor phrase, Roaming it thus,—you’ll tender me a fool.
153	1	3	OPHELIA	POLONIUS	My lord, he hath importun’d me with love In honourable fashion.
154	1	3	POLONIUS	OPHELIA	Ay, fashion you may call it; go to, go to.
155	1	3	OPHELIA	POLONIUS	And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.
156	1	3	POLONIUS	OPHELIA	Ay, springes to catch woodcocks. I do know, When the blood burns, how prodigal the soul Lends the tongue vows: these blazes, daughter, Giving more light than heat, extinct in both, Even in their promise, as it is a-making, You must not take for fire. From this time Be something scanter of your maiden presence; Set your entreatments at a higher rate Than a command to parley. For Lord Hamlet, Believe so much in him that he is young; And with a larger tether may he walk Than may be given you. In few, Ophelia, Do not believe his vows; for they are brokers, Not of that dye which their investments show, But mere implorators of unholy suits, Breathing like sanctified and pious bawds, The better to beguile. This is for all. I would not, in plain terms, from this time forth Have you so slander any moment leisure As to give words or talk with the Lord Hamlet. Look to’t, I charge you; come your ways.
157	1	3	OPHELIA	POLONIUS	I shall obey, my lord.
158	1	4	HAMLET	HORATIO	The air bites shrewdly; it is very cold.
159	1	4	HORATIO	HAMLET	It is a nipping and an eager air.
160	1	4	HAMLET	HORATIO	What hour now?
161	1	4	HORATIO	HAMLET	I think it lacks of twelve.
162	1	4	MARCELLUS	HORATIO	No, it is struck.
163	1	4	HORATIO	MARCELLUS	Indeed? I heard it not. It then draws near the season Wherein the spirit held his wont to walk. What does this mean, my lord?
164	1	4	HAMLET	HORATIO	The King doth wake tonight and takes his rouse, Keeps wassail, and the swaggering upspring reels; And as he drains his draughts of Rhenish down, The kettle-drum and trumpet thus bray out The triumph of his pledge.
165	1	4	HORATIO	HAMLET	Is it a custom?
166	1	4	HAMLET	HORATIO	Ay marry is’t; And to my mind, though I am native here, And to the manner born, it is a custom More honour’d in the breach than the observance. This heavy-headed revel east and west Makes us traduc’d and tax’d of other nations: They clepe us drunkards, and with swinish phrase Soil our addition; and indeed it takes From our achievements, though perform’d at height, The pith and marrow of our attribute. So oft it chances in particular men That for some vicious mole of nature in them, As in their birth, wherein they are not guilty, Since nature cannot choose his origin, By their o’ergrowth of some complexion, Oft breaking down the pales and forts of reason; Or by some habit, that too much o’erleavens The form of plausive manners;—that these men, Carrying, I say, the stamp of one defect, Being Nature’s livery or Fortune’s star,— His virtues else,—be they as pure as grace, As infinite as man may undergo, Shall in the general censure take corruption From that particular fault. The dram of evil Doth all the noble substance often doubt To his own scandal.
167	1	4	HORATIO	HAMLET	Look, my lord, it comes! Enter Ghost.
168	1	4	HAMLET	HORATIO	Angels and ministers of grace defend us! Be thou a spirit of health or goblin damn’d, Bring with thee airs from heaven or blasts from hell, Be thy intents wicked or charitable, Thou com’st in such a questionable shape That I will speak to thee. I’ll call thee Hamlet, King, father, royal Dane. O, answer me! Let me not burst in ignorance; but tell Why thy canoniz’d bones, hearsed in death, Have burst their cerements; why the sepulchre, Wherein we saw thee quietly inurn’d, Hath op’d his ponderous and marble jaws To cast thee up again! What may this mean, That thou, dead corse, again in complete steel, Revisit’st thus the glimpses of the moon, Making night hideous, and we fools of nature So horridly to shake our disposition With thoughts beyond the reaches of our souls? Say, why is this? Wherefore? What should we do?
169	1	4	HORATIO	HAMLET	It beckons you to go away with it, As if it some impartment did desire To you alone.
170	1	4	MARCELLUS	HORATIO	Look with what courteous action It waves you to a more removed ground. But do not go with it.
171	1	4	HORATIO	MARCELLUS	No, by no means.
172	1	4	HAMLET	HORATIO	It will not speak; then will I follow it.
173	1	4	HORATIO	HAMLET	Do not, my lord.
174	1	4	HAMLET	HORATIO	Why, what should be the fear? I do not set my life at a pin’s fee; And for my soul, what can it do to that, Being a thing immortal as itself? It waves me forth again. I’ll follow it.
175	1	4	HORATIO	HAMLET	What if it tempt you toward the flood, my lord, Or to the dreadful summit of the cliff That beetles o’er his base into the sea, And there assume some other horrible form Which might deprive your sovereignty of reason, And draw you into madness? Think of it. The very place puts toys of desperation, Without more motive, into every brain That looks so many fadoms to the sea And hears it roar beneath.
176	1	4	HAMLET	HORATIO	It waves me still. Go on, I’ll follow thee.
177	1	4	MARCELLUS	HAMLET	You shall not go, my lord.
178	1	4	HAMLET	MARCELLUS	Hold off your hands.
179	1	4	HORATIO	HAMLET	Be rul’d; you shall not go.
180	1	4	HAMLET	HORATIO	My fate cries out, And makes each petty artery in this body As hardy as the Nemean lion’s nerve. Still am I call’d. Unhand me, gentlemen. By heaven, I’ll make a ghost of him that lets me. I say, away!—Go on, I’ll follow thee.
181	1	4	HORATIO	HAMLET	He waxes desperate with imagination.
182	1	4	MARCELLUS	HORATIO	Let’s follow; ’tis not fit thus to obey him.
183	1	4	HORATIO	MARCELLUS	Have after. To what issue will this come?
184	1	4	MARCELLUS	HORATIO	Something is rotten in the state of Denmark.
185	1	4	HORATIO	MARCELLUS	Heaven will direct it.
186	1	4	MARCELLUS	HORATIO	Nay, let’s follow him.
187	1	5	MARCELLUS	HAMLET	Nor I, my lord, in faith.
188	1	5	HAMLET	MARCELLUS	Upon my sword.
189	1	5	MARCELLUS	HAMLET	We have sworn, my lord, already.
190	1	5	HAMLET	MARCELLUS	Indeed, upon my sword, indeed.
191	1	5	GHOST	HAMLET	Swear.
192	1	5	HAMLET	GHOST	Ha, ha boy, say’st thou so? Art thou there, truepenny? Come on, you hear this fellow in the cellarage. Consent to swear.
193	1	5	HORATIO	HAMLET	Propose the oath, my lord.
194	1	5	HAMLET	HORATIO	Never to speak of this that you have seen. Swear by my sword.
195	1	5	GHOST	HAMLET	Swear.
